Method, Min_Attack, Max_Attack, Min_Lift, Max_Lift, Angle_1, Angle_2, Angle_3, Time, Hits, Misses, Fail_0, Fail_1, Fail_2, Fail_3, Fail_4, Avg_Error, Std_Dev, Min_Error, Max_Error, Rng_0%, Rng_1%, Rng_2%, Rng_3%, Rng_4%, Rng_5%, Rng_6%, Rng_7%, Rng_8%, Rng_9%, Rng_10%, Rng_11%, Rng_12%, Rng_13%, Rng_14%, Rng_15%
LT, 0, 30, 10, 20, 0, 255, 315, 1.880245, 999999, 1, 0, 0, 1, 0, 0, 7.74614e-09, 6.66335e-06, 3.7704e-16, 0.00663468, 0.000000, 0.000000, 0.000100, 0.000300, 0.000300, 0.001400, 0.007300, 0.015600,  0.060400, 0.266500, 1.516700, 10.445800, 55.945400, 30.601800, 1.135500, 0.002800
EC, 0, 30, 10, 20, 0, 255, 315, 3.413188, 1000000, 0, 0, 0, 0, 0, 0, 9.25188e-12, 6.00338e-09, 0, 5.2558e-06, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000200, 0.000000, 0.001500,  0.008600, 0.061500, 0.488100, 3.264700, 16.383900, 67.023300, 12.358000, 0.410200

LT, 0, 30, 10, 20, 0, 72, 232, 2.007100, 1000000, 0, 0, 0, 0, 0, 0, 1.38925e-09, 5.01539e-07, 1.52565e-16, 0.000315936, 0.000000, 0.000000, 0.000000, 0.000300, 0.001200, 0.003000, 0.010500, 0.034000,  0.101500, 0.343800, 1.318200, 5.786900, 20.681200, 58.559800, 13.080700, 0.078900
EC, 0, 30, 10, 20, 0, 72, 232, 3.329949, 1000000, 0, 0, 0, 0, 0, 0, 5.86869e-13, 1.57608e-10, 0, 1.14976e-07, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000100, 0.000800,  0.002600, 0.016500, 0.128300, 0.974300, 5.579400, 57.278400, 34.320200, 1.699400

LT, 0, 30, 10, 20, 0, 175, 184, 1.788898, 999995, 5, 0, 3, 2, 0, 0, 4.27269e-07, 0.000248751, 2.78852e-15, 0.243902, 0.000100, 0.000800, 0.001000, 0.003000, 0.011300, 0.035800, 0.139600, 0.261000,  0.833500, 2.868100, 10.307700, 61.508700, 23.295900, 0.730000, 0.003000, 0.000000
EC, 0, 30, 10, 20, 0, 175, 184, 3.258605, 1000000, 0, 0, 0, 0, 0, 0, 5.46486e-11, 3.55377e-08, 1.81576e-16, 2.53786e-05, 0.000000, 0.000000, 0.000000, 0.000000, 0.000200, 0.000100, 0.000300, 0.001000,  0.004500, 0.031800, 0.295700, 19.465500, 69.085900, 10.468900, 0.636300, 0.009800

LT, 0, 30, 10, 20, 0, 2, 7, 1.873654, 999999, 1, 0, 0, 1, 0, 0, 4.56334e-06, 0.000163837, 5.31348e-14, 0.0304306, 0.000000, 0.006400, 0.081100, 0.023200, 0.662500, 18.867900, 39.687300, 21.391200,  10.485800, 5.521900, 2.708100, 0.558200, 0.006200, 0.000100, 0.000000, 0.000000
EC, 0, 30, 10, 20, 0, 2, 7, 3.564557, 1000000, 0, 0, 0, 0, 0, 0, 3.49101e-08, 1.72703e-05, 5.84509e-15, 0.0132451, 0.000000, 0.000100, 0.000500, 0.000200, 0.000000, 0.000400, 0.006800, 0.062100,  0.606000, 4.942800, 58.777100, 32.221000, 3.272700, 0.109400, 0.000900, 0.000000

LT, 0, 30, 10, 20, 0, 14, 191, 1.969864, 1000000, 0, 0, 0, 0, 0, 0, 3.60378e-09, 2.78454e-06, 4.0004e-16, 0.00268419, 0.000000, 0.000000, 0.000100, 0.000100, 0.000500, 0.000900, 0.002000, 0.011900,  0.074900, 0.532800, 3.622600, 25.607600, 51.321400, 18.097600, 0.725600, 0.002000
EC, 0, 30, 10, 20, 0, 14, 191, 3.328131, 1000000, 0, 0, 0, 0, 0, 0, 6.29967e-13, 1.22321e-10, 1.58213e-16, 9.82954e-08, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000700,  0.002100, 0.010100, 0.086400, 1.798000, 70.511200, 25.821100, 1.749400, 0.021000

LT, 0, 30, 10, 20, 0, 29, 305, 1.885331, 1000000, 0, 0, 0, 0, 0, 0, 4.36187e-08, 1.91955e-05, 3.99127e-16, 0.013839, 0.000000, 0.000100, 0.000600, 0.000400, 0.001000, 0.004100, 0.010100, 0.034900,  0.125300, 0.480300, 2.401600, 19.914600, 56.092800, 20.087500, 0.844600, 0.002100
EC, 0, 30, 10, 20, 0, 29, 305, 3.415229, 1000000, 0, 0, 0, 0, 0, 0, 1.22041e-12, 4.58985e-10, 2.03175e-17, 4.29574e-07, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000200, 0.000600,  0.005000, 0.039300, 0.305400, 2.126400, 29.350500, 60.591400, 7.322700, 0.258500

LT, 0, 30, 10, 20, 0, 45, 65, 1.826659, 999998, 2, 0, 0, 2, 0, 0, 1.5844e-08, 8.52681e-06, 1.66612e-15, 0.00654737, 0.000000, 0.000000, 0.000200, 0.001300, 0.002300, 0.007700, 0.026500, 0.094900,  0.324900, 1.238800, 6.746900, 47.237800, 41.348000, 2.947500, 0.023000, 0.000000
