Method, Min_Attack, Max_Attack, Min_Lift, Max_Lift, Angle_1, Angle_2, Angle_3, Time, Hits, Misses, Fail_0, Fail_1, Fail_2, Fail_3, Fail_4, Avg_Error, Std_Dev, Min_Error, Max_Error, Rng_0%, Rng_1%, Rng_2%, Rng_3%, Rng_4%, Rng_5%, Rng_6%, Rng_7%, Rng_8%, Rng_9%, Rng_10%, Rng_11%, Rng_12%, Rng_13%, Rng_14%, Rng_15%
LT, 0, 30, 100, 200, 0, 2, 7, 1.804398, 999956, 44, 0, 9, 35, 0, 0, 4.99933e-05, 7.07198e-05, 3.3623e-12, 0.00702551, 0.000000, 0.000000, 0.001200, 15.657100, 47.129700, 20.686900, 8.169000, 4.082700,  3.107300, 1.073200, 0.087600, 0.000900, 0.000000, 0.000000, 0.000000, 0.000000
EC, 0, 30, 100, 200, 0, 2, 7, 3.425433, 1000000, 0, 0, 0, 0, 0, 0, 1.70955e-09, 1.10356e-07, 7.01827e-15, 7.23373e-05, 0.000000, 0.000000, 0.000000, 0.000000, 0.001200, 0.000500, 0.009900, 0.255800,  48.344300, 45.555000, 5.264700, 0.518500, 0.047500, 0.002500, 0.000100, 0.000000

LT, 0, 30, 100, 200, 0, 14, 191, 1.869499, 1000000, 0, 0, 0, 0, 0, 0, 2.29985e-08, 1.37772e-05, 1.03331e-14, 0.0109398, 0.000000, 0.000100, 0.000100, 0.001000, 0.002400, 0.005200, 0.025400, 0.162600,  1.467900, 20.690900, 49.116500, 24.079300, 4.361200, 0.087400, 0.000000, 0.000000
EC, 0, 30, 100, 200, 0, 14, 191, 3.115315, 1000000, 0, 0, 0, 0, 0, 0, 2.54795e-11, 6.76011e-10, 4.93642e-16, 4.98362e-07, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000500, 0.000600,  0.001100, 0.696500, 69.109600, 27.072000, 2.818900, 0.274100, 0.025700, 0.001000

LT, 0, 30, 100, 200, 0, 29, 305, 1.776500, 999996, 4, 0, 0, 4, 0, 0, 3.44159e-09, 6.54157e-07, 9.04296e-15, 0.000279729, 0.000000, 0.000000, 0.000000, 0.001200, 0.003000, 0.007000, 0.025500, 0.125500,  0.725800, 11.731900, 56.779700, 27.200600, 3.306900, 0.092300, 0.000200, 0.000000
EC, 0, 30, 100, 200, 0, 29, 305, 3.233192, 1000000, 0, 0, 0, 0, 0, 0, 6.1909e-11, 5.43167e-08, 1.46809e-16, 5.43159e-05, 0.000000, 0.000000, 0.000000, 0.000000, 0.000100, 0.000000, 0.000100, 0.000800,  0.005300, 0.086300, 22.430700, 66.270300, 10.111700, 0.997400, 0.093100, 0.004200

LT, 0, 30, 100, 200, 0, 45, 65, 1.738767, 999995, 5, 0, 0, 5, 0, 0, 1.28404e-08, 1.62476e-06, 2.09306e-14, 0.000693251, 0.000000, 0.000000, 0.000000, 0.002600, 0.012100, 0.027500, 0.115000, 0.581700,  4.509400, 44.405700, 44.105300, 5.922000, 0.315700, 0.002500, 0.000000, 0.000000
EC, 0, 30, 100, 200, 0, 45, 65, 3.239065, 1000000, 0, 0, 0, 0, 0, 0, 2.84407e-10, 1.94122e-07, 1.82667e-16, 0.000158006, 0.000000, 0.000000, 0.000000, 0.000200, 0.000000, 0.000000, 0.000300, 0.000300,  0.001500, 0.026100, 48.976500, 45.248100, 5.187400, 0.511200, 0.046700, 0.001700

LT, 0, 30, 100, 200, 0, 77, 270, 1.899119, 1000000, 0, 0, 0, 0, 0, 0, 5.97623e-09, 1.61419e-06, 2.42729e-15, 0.0012993, 0.000000, 0.000000, 0.000100, 0.001600, 0.002400, 0.010000, 0.031900, 0.108100,  0.441500, 1.560600, 9.178100, 63.539100, 23.585200, 1.533900, 0.007500, 0.000000
EC, 0, 30, 100, 200, 0, 77, 270, 3.157131, 1000000, 0, 0, 0, 0, 0, 0, 4.60275e-10, 3.82903e-07, 7.34136e-18, 0.000374813, 0.000000, 0.000000, 0.000000, 0.000100, 0.000100, 0.000200, 0.000200, 0.000400,  0.001800, 0.017700, 0.234100, 53.624700, 41.079100, 4.574100, 0.435600, 0.031900

LT, 0, 30, 100, 200, 0, 93, 189, 1.800031, 999999, 1, 0, 0, 1, 0, 0, 2.32189e-08, 1.22514e-05, 1.43316e-15, 0.0118558, 0.000000, 0.000100, 0.000400, 0.001700, 0.004700, 0.008900, 0.031800, 0.124800,  0.433900, 1.906500, 12.718800, 66.014500, 17.600200, 1.147000, 0.006600, 0.000000
EC, 0, 30, 100, 200, 0, 93, 189, 3.138997, 1000000, 0, 0, 0, 0, 0, 0, 1.55935e-12, 1.84224e-10, 1.8258e-17, 1.80249e-07, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000100, 0.000500,  0.002200, 0.005100, 0.017700, 46.211200, 47.574000, 5.582500, 0.557600, 0.049100

LT, 0, 30, 100, 200, 0, 102, 333, 1.882797, 999998, 2, 0, 0, 2, 0, 0, 3.69992e-09, 1.65161e-06, 3.26183e-15, 0.00153836, 0.000000, 0.000000, 0.000100, 0.000500, 0.001700, 0.005200, 0.019500, 0.099600,  0.620700, 5.563500, 49.083800, 37.592500, 6.792700, 0.219400, 0.000600, 0.000000
EC, 0, 30, 100, 200, 0, 102, 333, 3.176079, 999999, 1, 0, 1, 0, 0, 0, 7.9841e-12, 5.07736e-10, 1.98565e-16, 3.76259e-07, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000400, 0.000500,  0.002300, 0.021700, 23.196200, 65.861700, 9.846900, 0.971600, 0.093300, 0.005300

LT, 0, 30, 100, 200, 0, 68, 201, 1.891256, 999998, 2, 0, 0, 2, 0, 0, 2.81192e-08, 2.14804e-05, 2.14413e-15, 0.0212785, 0.000000, 0.000100, 0.000200, 0.000700, 0.003200, 0.007100, 0.027200, 0.089600,  0.355500, 1.719900, 13.014700, 64.466200, 19.055300, 1.252900, 0.007200, 0.000000
EC, 0, 30, 100, 200, 0, 68, 201, 3.126876, 1000000, 0, 0, 0, 0, 0, 0, 1.81332e-12, 9.69183e-11, 8.78522e-17, 6.47565e-08, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000400,  0.002100, 0.020300, 0.221200, 53.923200, 40.775600, 4.588100, 0.440200, 0.028900

LT, 0, 30, 100, 200, 0, 173, 188, 1.693703, 999979, 21, 0, 7, 14, 0, 0, 6.63502e-08, 1.49686e-05, 3.13728e-14, 0.0112614, 0.000000, 0.000100, 0.000900, 0.006600, 0.028200, 0.095300, 0.221800, 0.614800,  2.176200, 25.001600, 62.629700, 8.675100, 0.542100, 0.005500, 0.000000, 0.000000
EC, 0, 30, 100, 200, 0, 173, 188, 3.085623, 1000000, 0, 0, 0, 0, 0, 0, 4.68685e-11, 2.36465e-08, 5.65695e-16, 2.36294e-05, 0.000000, 0.000000, 0.000000, 0.000000, 0.000100, 0.000000, 0.000200, 0.001500,  0.016800, 0.463800, 65.527500, 30.448400, 3.208400, 0.308800, 0.023700, 0.000800

LT, 0, 30, 100, 200, 0, 145, 201, 1.746202, 999994, 6, 0, 2, 4, 0, 0, 4.23851e-08, 1.72607e-05, 3.47416e-15, 0.0132938, 0.000000, 0.000100, 0.000400, 0.002800, 0.005900, 0.021400, 0.070600, 0.237300,  0.858200, 2.772300, 20.435300, 64.886100, 10.171500, 0.536000, 0.001500, 0.000000
EC, 0, 30, 100, 200, 0, 145, 201, 3.106666, 1000000, 0, 0, 0, 0, 0, 0, 6.47072e-12, 4.04448e-09, 2.0575e-17, 4.04046e-06, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000100, 0.000100, 0.000700,  0.002000, 0.008800, 0.236900, 62.589500, 33.236500, 3.556800, 0.343100, 0.025500

LT, 0, 30, 100, 200, 0, 154, 323, 1.917462, 1000000, 0, 0, 0, 0, 0, 0, 1.62527e-09, 3.53024e-07, 2.65615e-15, 0.000156983, 0.000000, 0.000000, 0.000000, 0.000500, 0.002500, 0.004600, 0.014900, 0.071500,  0.373400, 2.583200, 32.078500, 51.622500, 12.624400, 0.621400, 0.002600, 0.000000
EC, 0, 30, 100, 200, 0, 154, 323, 3.089071, 1000000, 0, 0, 0, 0, 0, 0, 4.16982e-12, 2.09302e-10, 8.69209e-17, 1.89527e-07, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000100, 0.000900,  0.000600, 0.005400, 5.670400, 74.520300, 17.795800, 1.810300, 0.184400, 0.011800

LT, 0, 30, 100, 200, 0, 199, 355, 1.854096, 999997, 3, 0, 1, 2, 0, 0, 2.25239e-08, 1.70268e-05, 8.39197e-15, 0.0170063, 0.000000, 0.000100, 0.000000, 0.001500, 0.003000, 0.013000, 0.114100, 1.088000,  15.377700, 49.482700, 23.966600, 8.956900, 0.988900, 0.007100, 0.000100, 0.000000
EC, 0, 30, 100, 200, 0, 199, 355, 3.109825, 1000000, 0, 0, 0, 0, 0, 0, 3.04425e-10, 8.56814e-08, 2.13879e-15, 8.08658e-05, 0.000000, 0.000000, 0.000000, 0.000000, 0.000300, 0.000000, 0.000000, 0.000200,  0.100700, 61.855700, 33.993300, 3.656700, 0.354400, 0.036600, 0.002100, 0.000000

LT, 0, 30, 100, 200, 0, 1, 2, 1.783585, 999227, 773, 0, 142, 631, 0, 0, 0.0155598, 0.030178, 1.475e-11, 0.925866, 2.778300, 26.706400, 10.774400, 20.431500, 24.991400, 8.796500, 3.584100, 1.558600,  0.283200, 0.018100, 0.000200, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
EC, 0, 30, 100, 200, 0, 1, 2, 3.487827, 999998, 2, 0, 0, 2, 0, 0, 2.86236e-06, 2.54462e-05, 3.03312e-12, 0.0197715, 0.000000, 0.000100, 0.001500, 0.047800, 3.103300, 57.903100, 27.561200, 8.812200,  2.312300, 0.243900, 0.013600, 0.000800, 0.000000, 0.000000, 0.000000, 0.000000


LT, 0, 30, 1000, 2000, 0, 80, 230, 1.827713, 999968, 32, 0, 9, 23, 0, 0, 2.1153e-08, 1.11508e-05, 2.6472e-14, 0.0109687, 0.000000, 0.000100, 0.000100, 0.001800, 0.007100, 0.029700, 0.132900, 0.742300,  6.637400, 63.506500, 26.187100, 2.588200, 0.163100, 0.000500, 0.000000, 0.000000
EC, 0, 30, 1000, 2000, 0, 80, 230, 3.098729, 1000000, 0, 0, 0, 0, 0, 0, 1.20747e-10, 2.24763e-09, 1.8743e-16, 2.18281e-06, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000100, 0.000100, 0.000700,  0.007600, 46.585700, 47.401900, 5.399800, 0.540900, 0.057900, 0.005100, 0.000200

LT, 0, 30, 1000, 2000, 0, 70, 300, 1.873971, 999969, 31, 0, 8, 23, 0, 0, 5.02103e-09, 6.35125e-07, 4.56985e-14, 0.000301437, 0.000000, 0.000000, 0.000000, 0.000900, 0.003700, 0.035400, 0.159100, 1.073300,  18.656800, 62.540000, 15.946900, 1.505200, 0.075400, 0.000200, 0.000000, 0.000000
EC, 0, 30, 1000, 2000, 0, 70, 300, 3.172860, 1000000, 0, 0, 0, 0, 0, 0, 2.092e-10, 1.05257e-09, 5.92701e-16, 9.69284e-07, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000300, 0.000400,  0.187500, 67.092900, 29.312300, 3.060200, 0.314500, 0.029500, 0.002300, 0.000100

LT, 0, 30, 1000, 2000, 0, 33, 65, 1.787928, 999886, 114, 0, 22, 92, 0, 0, 6.4491e-08, 1.6885e-05, 6.33071e-13, 0.0161998, 0.000000, 0.000100, 0.000600, 0.003700, 0.030400, 0.221600, 2.203800, 33.778700,  51.204900, 11.377500, 1.097800, 0.069300, 0.000200, 0.000000, 0.000000, 0.000000
EC, 0, 30, 1000, 2000, 0, 33, 65, 3.176113, 1000000, 0, 0, 0, 0, 0, 0, 7.62813e-10, 1.97112e-08, 5.57061e-16, 1.92463e-05, 0.000000, 0.000000, 0.000000, 0.000000, 0.000100, 0.000100, 0.000700, 0.007700,  26.390700, 64.005400, 8.622900, 0.879000, 0.084000, 0.008400, 0.000800, 0.000200

LT, 0, 30, 1000, 2000, 0, 30, 200, 1.885869, 999964, 36, 0, 7, 29, 0, 0, 2.37346e-08, 1.61126e-05, 4.50155e-14, 0.0160976, 0.000000, 0.000100, 0.000000, 0.000800, 0.006800, 0.043000, 0.306600, 2.696700,  39.445100, 44.947100, 11.457700, 1.052700, 0.039600, 0.000200, 0.000000, 0.000000
EC, 0, 30, 1000, 2000, 0, 30, 200, 3.102281, 1000000, 0, 0, 0, 0, 0, 0, 5.72759e-10, 4.62408e-08, 2.81535e-15, 4.62351e-05, 0.000000, 0.000000, 0.000000, 0.000000, 0.000100, 0.000000, 0.000400, 0.000300,  13.805300, 72.723800, 12.126100, 1.209000, 0.122600, 0.011500, 0.000900, 0.000000

LT, 0, 30, 1000, 2000, 0, 130, 250, 1.857002, 999970, 30, 0, 9, 21, 0, 0, 1.26303e-07, 0.000117646, 4.74196e-14, 0.117637, 0.000100, 0.000000, 0.000100, 0.001300, 0.008800, 0.044400, 0.154800, 0.709500,  5.165100, 62.162900, 28.695800, 2.866400, 0.186400, 0.001400, 0.000000, 0.000000
EC, 0, 30, 1000, 2000, 0, 130, 250, 3.099819, 1000000, 0, 0, 0, 0, 0, 0, 2.0062e-10, 5.52188e-08, 4.21239e-16, 4.14105e-05, 0.000000, 0.000000, 0.000000, 0.000000, 0.000300, 0.000200, 0.000400, 0.001700,  0.013100, 38.736200, 54.015300, 6.501900, 0.655800, 0.068500, 0.006300, 0.000300

LT, 0, 30, 1000, 2000, 0, 24, 55, 1.750276, 999875, 125, 0, 27, 98, 0, 0, 7.85893e-08, 1.11563e-05, 1.67516e-13, 0.00750521, 0.000000, 0.000000, 0.000500, 0.003100, 0.038400, 0.344700, 4.750500, 49.811000,  36.751900, 7.555000, 0.694300, 0.037700, 0.000400, 0.000000, 0.000000, 0.000000
EC, 0, 30, 1000, 2000, 0, 24, 55, 3.222432, 1000000, 0, 0, 0, 0, 0, 0, 1.09208e-09, 9.70198e-09, 4.70968e-16, 8.56825e-06, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000200, 0.000100, 0.001000,  42.903100, 50.545300, 5.885600, 0.596400, 0.061500, 0.006000, 0.000700, 0.000100

LT, 0, 30, 1000, 2000, 0, 190, 210, 1.795706, 999814, 186, 0, 36, 150, 0, 0, 1.77782e-07, 6.48517e-05, 2.04751e-13, 0.061114, 0.000000, 0.000300, 0.001400, 0.012200, 0.050100, 0.198700, 0.926600, 10.266600,  70.690900, 16.191900, 1.526200, 0.115200, 0.001300, 0.000000, 0.000000, 0.000000
EC, 0, 30, 1000, 2000, 0, 190, 210, 3.075415, 1000000, 0, 0, 0, 0, 0, 0, 1.14255e-09, 9.88826e-10, 1.34957e-15, 1.10961e-07, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000100, 0.000600,  45.158100, 48.631300, 5.575800, 0.569100, 0.057800, 0.006400, 0.000800, 0.000000

LT, 0, 30, 1000, 2000, 0, 42, 244, 1.886198, 999966, 34, 0, 10, 24, 0, 0, 1.01182e-08, 2.14628e-06, 3.81331e-14, 0.00191609, 0.000000, 0.000000, 0.000100, 0.001500, 0.007600, 0.033100, 0.217900, 1.755700,  25.050600, 57.355300, 14.194000, 1.314600, 0.065800, 0.000400, 0.000000, 0.000000
EC, 0, 30, 1000, 2000, 0, 42, 244, 3.136938, 1000000, 0, 0, 0, 0, 0, 0, 2.94281e-10, 1.06198e-09, 9.28997e-16, 8.67661e-07, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000400, 0.000400,  1.827300, 74.351800, 21.384800, 2.188100, 0.222900, 0.021900, 0.002300, 0.000100

LT, 0, 30, 1000, 2000, 0, 255, 315, 1.723099, 999948, 52, 0, 8, 44, 0, 0, 1.76313e-08, 2.13933e-06, 3.17716e-14, 0.00112003, 0.000000, 0.000000, 0.000100, 0.001800, 0.013100, 0.075800, 0.551100, 5.352100,  49.928300, 38.489300, 5.154300, 0.417200, 0.011600, 0.000100, 0.000000, 0.000000
EC, 0, 30, 1000, 2000, 0, 255, 315, 3.209937, 1000000, 0, 0, 0, 0, 0, 0, 3.22249e-10, 1.00545e-09, 2.0244e-15, 6.54942e-07, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000500, 0.002600,  2.730400, 75.356000, 19.667600, 2.015200, 0.204600, 0.020800, 0.002300, 0.000000

LT, 0, 30, 1000, 2000, 0, 72, 232, 1.868149, 999972, 28, 0, 6, 22, 0, 0, 8.56382e-09, 1.93416e-06, 2.45133e-14, 0.00140399, 0.000000, 0.000000, 0.000100, 0.001100, 0.006500, 0.029300, 0.138200, 0.810900,  7.764000, 64.298500, 24.376100, 2.422400, 0.148900, 0.001200, 0.000000, 0.000000
EC, 0, 30, 1000, 2000, 0, 72, 232, 3.096696, 1000000, 0, 0, 0, 0, 0, 0, 1.33206e-10, 1.30388e-09, 1.76981e-15, 1.29821e-06, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000100, 0.000000, 0.000500,  0.007700, 51.214900, 43.401800, 4.840600, 0.479600, 0.049100, 0.005700, 0.000000

LT, 0, 30, 1000, 2000, 0, 175, 184, 1.666800, 999521, 479, 0, 115, 364, 0, 0, 5.50218e-07, 0.00023731, 7.3213e-13, 0.231261, 0.000100, 0.000400, 0.001800, 0.033100, 0.152600, 0.361600, 1.452400, 59.931700,  34.261300, 3.455000, 0.289500, 0.012500, 0.000100, 0.000000, 0.000000, 0.000000
EC, 0, 30, 1000, 2000, 0, 175, 184, 3.055151, 1000000, 0, 0, 0, 0, 0, 0, 5.51466e-09, 4.73025e-09, 5.59247e-15, 4.85359e-07, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000100, 15.422800,  71.689900, 11.599000, 1.160100, 0.113200, 0.012500, 0.002200, 0.000200, 0.000000

LT, 0, 30, 1000, 2000, 0, 2, 7, 1.804767, 997650, 2350, 0, 365, 1985, 0, 0, 6.77366e-05, 0.00130935, 9.41927e-11, 0.648611, 0.002300, 0.016200, 0.179100, 17.021000, 52.281900, 21.071700, 7.170700, 1.805600,  0.200900, 0.015500, 0.000100, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
EC, 0, 30, 1000, 2000, 0, 2, 7, 3.402245, 1000000, 0, 0, 0, 0, 0, 0, 1.20262e-07, 1.47043e-07, 4.73318e-13, 0.000105459, 0.000000, 0.000000, 0.000000, 0.000100, 0.000000, 0.002800, 47.401400, 46.739900,  5.274600, 0.523400, 0.052200, 0.005200, 0.000400, 0.000000, 0.000000, 0.000000

LT, 0, 30, 1000, 2000, 0, 14, 191, 1.858988, 999970, 30, 0, 9, 21, 0, 0, 2.06196e-08, 1.88271e-06, 9.99674e-14, 0.00154023, 0.000000, 0.000000, 0.000100, 0.000600, 0.015400, 0.125300, 1.154800, 19.640600,  48.619200, 24.357100, 5.615400, 0.461800, 0.006600, 0.000100, 0.000000, 0.000000
EC, 0, 30, 1000, 2000, 0, 14, 191, 3.103644, 1000000, 0, 0, 0, 0, 0, 0, 2.29637e-09, 2.15409e-09, 2.04515e-15, 8.81143e-07, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000200, 0.426900,  69.563700, 26.906500, 2.793600, 0.273800, 0.032100, 0.002900, 0.000300, 0.000000

LT, 0, 30, 1000, 2000, 0, 29, 305, 1.772244, 999958, 42, 0, 12, 30, 0, 0, 1.1365e-08, 1.47254e-06, 1.23078e-13, 0.00138475, 0.000000, 0.000000, 0.000100, 0.000300, 0.008500, 0.061600, 0.478400, 9.953600,  56.516700, 28.593700, 4.040500, 0.331800, 0.010600, 0.000000, 0.000000, 0.000000
EC, 0, 30, 1000, 2000, 0, 29, 305, 3.207945, 1000000, 0, 0, 0, 0, 0, 0, 6.29722e-10, 7.14677e-10, 3.24442e-15, 3.66067e-07, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000200, 0.000400,  20.094500, 68.679400, 10.123100, 0.992800, 0.100400, 0.008100, 0.001100, 0.000000

LT, 0, 30, 1000, 2000, 0, 45, 65, 1.727144, 999804, 196, 0, 43, 153, 0, 0, 2.48275e-07, 0.000157495, 3.23963e-13, 0.157264, 0.000100, 0.000000, 0.000700, 0.007900, 0.055600, 0.401600, 3.900200, 42.821200,  45.486500, 6.683100, 0.596500, 0.026700, 0.000300, 0.000000, 0.000000, 0.000000
EC, 0, 30, 1000, 2000, 0, 45, 65, 3.220926, 1000000, 0, 0, 0, 0, 0, 0, 1.2463e-09, 2.02772e-09, 1.72154e-15, 1.28785e-06, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000200, 0.000200, 0.000400,  48.789800, 45.478300, 5.164200, 0.515000, 0.046800, 0.004400, 0.000700, 0.000000

LT, 0, 30, 1000, 2000, 0, 77, 270, 1.889183, 999962, 38, 0, 9, 29, 0, 0, 1.11572e-08, 4.11431e-06, 1.4598e-14, 0.00399314, 0.000000, 0.000000, 0.000100, 0.001900, 0.005800, 0.031300, 0.127000, 0.701000,  6.898500, 64.395100, 25.190300, 2.493300, 0.151200, 0.000700, 0.000000, 0.000000
EC, 0, 30, 1000, 2000, 0, 77, 270, 3.130161, 1000000, 0, 0, 0, 0, 0, 0, 1.42519e-10, 3.3782e-09, 5.36863e-16, 3.36167e-06, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000100, 0.000100, 0.000300,  0.004800, 53.281400, 41.584900, 4.614300, 0.459300, 0.049900, 0.004400, 0.000500

LT, 0, 30, 1000, 2000, 0, 93, 189, 1.779763, 999957, 43, 0, 8, 35, 0, 0, 5.66819e-08, 3.65655e-05, 5.32754e-14, 0.0362982, 0.000000, 0.000100, 0.000400, 0.002500, 0.011400, 0.045400, 0.185100, 1.031000,  9.856500, 67.664000, 19.276700, 1.810000, 0.112100, 0.000500, 0.000000, 0.000000
EC, 0, 30, 1000, 2000, 0, 93, 189, 3.120908, 1000000, 0, 0, 0, 0, 0, 0, 1.16054e-10, 2.35856e-10, 5.40606e-16, 2.0405e-07, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000100, 0.000500,  0.001100, 45.973900, 47.902400, 5.511500, 0.549500, 0.053700, 0.006800, 0.000500

LT, 0, 30, 1000, 2000, 0, 102, 333, 1.872433, 999968, 32, 0, 13, 19, 0, 0, 2.54808e-08, 1.16016e-05, 4.30408e-14, 0.0107843, 0.000000, 0.000100, 0.000200, 0.000900, 0.007900, 0.060300, 0.442900, 4.684600,  47.921500, 38.104700, 8.051800, 0.701700, 0.020100, 0.000100, 0.000000, 0.000000
EC, 0, 30, 1000, 2000, 0, 102, 333, 3.151028, 1000000, 0, 0, 0, 0, 0, 0, 6.51046e-10, 9.52901e-10, 4.93193e-16, 7.75648e-07, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000100, 0.000200,  21.415200, 67.659600, 9.830200, 0.991100, 0.092400, 0.010600, 0.000500, 0.000100

LT, 0, 30, 1000, 2000, 0, 68, 201, 1.877922, 999970, 30, 0, 5, 25, 0, 0, 1.03276e-08, 1.73211e-06, 5.24466e-14, 0.000934214, 0.000000, 0.000000, 0.000000, 0.001900, 0.006600, 0.035900, 0.163700, 1.016900,  10.474300, 65.058000, 21.083000, 2.028900, 0.126800, 0.001000, 0.000000, 0.000000
EC, 0, 30, 1000, 2000, 0, 68, 201, 3.108366, 1000000, 0, 0, 0, 0, 0, 0, 1.41081e-10, 7.69541e-10, 2.71697e-16, 6.46572e-07, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000200, 0.000100,  0.005400, 53.511600, 41.408900, 4.563100, 0.459000, 0.045800, 0.005200, 0.000700

LT, 0, 30, 1000, 2000, 0, 173, 188, 1.683144, 999725, 275, 0, 58, 217, 0, 0, 3.1126e-07, 9.57183e-05, 1.8403e-13, 0.0824293, 0.000000, 0.000600, 0.001700, 0.017100, 0.086400, 0.247600, 0.779600, 22.205700,  65.926900, 9.774200, 0.876300, 0.055800, 0.000600, 0.000000, 0.000000, 0.000000
EC, 0, 30, 1000, 2000, 0, 173, 188, 3.064129, 1000000, 0, 0, 0, 0, 0, 0, 2.00863e-09, 2.90606e-09, 2.3825e-16, 1.63569e-06, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000200, 0.000600, 0.150200,  65.764800, 30.536700, 3.197300, 0.314500, 0.031900, 0.003200, 0.000400, 0.000200

LT, 0, 30, 1000, 2000, 0, 145, 201, 1.732557, 999910, 90, 0, 27, 63, 0, 0, 5.87e-08, 2.37143e-05, 5.65894e-14, 0.0199231, 0.000000, 0.000200, 0.000200, 0.004600, 0.019900, 0.070800, 0.264100, 1.300800,  18.448400, 67.402500, 11.411300, 1.018800, 0.049200, 0.000200, 0.000000, 0.000000
EC, 0, 30, 1000, 2000, 0, 145, 201, 3.091475, 1000000, 0, 0, 0, 0, 0, 0, 4.39757e-10, 2.58186e-07, 2.86851e-16, 0.000258186, 0.000000, 0.000000, 0.000000, 0.000100, 0.000000, 0.000000, 0.000200, 0.000600,  0.048700, 62.753900, 33.263500, 3.543400, 0.351700, 0.034600, 0.003100, 0.000200

LT, 0, 30, 1000, 2000, 0, 154, 323, 1.905885, 999959, 41, 0, 5, 36, 0, 0, 2.18536e-08, 9.40213e-06, 2.811e-14, 0.00910497, 0.000000, 0.000000, 0.000300, 0.001700, 0.005900, 0.035300, 0.224700, 1.980200,  30.144600, 51.804200, 14.367900, 1.370200, 0.060400, 0.000500, 0.000000, 0.000000
EC, 0, 30, 1000, 2000, 0, 154, 323, 3.070113, 1000000, 0, 0, 0, 0, 0, 0, 3.58845e-10, 4.51006e-10, 3.87913e-15, 2.22069e-07, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000300, 0.000500,  4.434600, 75.934900, 17.631000, 1.800200, 0.179500, 0.018100, 0.000900, 0.000000

LT, 0, 30, 1000, 2000, 0, 199, 355, 1.832088, 999939, 61, 0, 10, 51, 0, 0, 2.72021e-07, 0.000110571, 4.93147e-13, 0.109805, 0.000100, 0.000000, 0.001200, 0.011900, 0.091600, 0.945700, 14.215400, 49.752900,  23.661300, 9.256300, 1.946800, 0.109600, 0.001100, 0.000000, 0.000000, 0.000000
EC, 0, 30, 1000, 2000, 0, 199, 355, 3.088161, 1000000, 0, 0, 0, 0, 0, 0, 1.77846e-08, 1.51747e-08, 6.14131e-14, 2.34596e-07, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.046000, 62.102600,  33.855100, 3.593400, 0.362600, 0.037100, 0.003000, 0.000200, 0.000000, 0.000000

LT, 0, 30, 1000, 2000, 0, 1, 2, 1.789746, 986451, 13549, 0, 2117, 11432, 0, 0, 0.00579631, 0.0144135, 1.69888e-09, 0.997438, 0.161600, 17.481000, 47.229000, 21.198300, 8.463000, 3.238800, 0.787600, 0.082200,  0.003600, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
EC, 0, 30, 1000, 2000, 0, 1, 2, 3.475877, 999231, 769, 0, 0, 769, 0, 0, 3.25471e-06, 2.84934e-05, 2.75086e-11, 0.0134725, 0.000000, 0.000200, 0.004000, 0.032500, 3.557000, 66.414300, 26.584400, 3.009900,  0.287600, 0.031500, 0.001700, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000



